extended_mara_with_poi.10._Strada_per_Porta_Ninfina,ext_mara.https://cosme.unicampania.it/rasta/norba/8-VIABILITA-Strade-antiche/index.json/canvas/6
extended_mara_with_poi.11._Domus_X,ext_mara.https://cosme.unicampania.it/rasta/norba/2-EDILIZIA-PRIVATA-Domus-Case-antiche/index.json/canvas/0
extended_mara_with_poi.11._Domus_X,ext_mara.https://cosme.unicampania.it/rasta/norba/2-EDILIZIA-PRIVATA-Domus-Case-antiche/index.json/canvas/3
extended_mara_with_poi.11._Domus_X,ext_mara.https://cosme.unicampania.it/rasta/norba/8-VIABILITA-Strade-antiche/index.json/canvas/3
extended_mara_with_poi.12._Complesso_termale,ext_mara.https://cosme.unicampania.it/rasta/norba/7-TERME/index.json/canvas/1
extended_mara_with_poi.12._Complesso_termale,ext_mara.https://cosme.unicampania.it/rasta/norba/7-TERME/index.json/canvas/2
extended_mara_with_poi.12._Complesso_termale,ext_mara.https://cosme.unicampania.it/rasta/norba/7-TERME/index.json/canvas/3
extended_mara_with_poi.12._Complesso_termale,ext_mara.https://cosme.unicampania.it/rasta/norba/7-TERME/index.json/canvas/4
extended_mara_with_poi.12._Complesso_termale,ext_mara.https://cosme.unicampania.it/rasta/norba/7-TERME/index.json/canvas/5
extended_mara_with_poi.12._Complesso_termale,ext_mara.https://cosme.unicampania.it/rasta/norba/7-TERME/index.json/canvas/6
extended_mara_with_poi.13._Strada_per_il_Santuario_di_Giunone,ext_mara.https://cosme.unicampania.it/rasta/norba/8-VIABILITA-Strade-antiche/index.json/canvas/2
extended_mara_with_poi.14._Tempio_di_Giunone_Lucina,ext_mara.https://cosme.unicampania.it/rasta/norba/1-EDIFICI-SACRI/index.json/canvas/10
extended_mara_with_poi.14._Tempio_di_Giunone_Lucina,ext_mara.https://cosme.unicampania.it/rasta/norba/1-EDIFICI-SACRI/index.json/canvas/8
extended_mara_with_poi.14._Tempio_di_Giunone_Lucina,ext_mara.https://cosme.unicampania.it/rasta/norba/1-EDIFICI-SACRI/index.json/canvas/9
extended_mara_with_poi.14._Tempio_di_Giunone_Lucina,ext_mara.https://cosme.unicampania.it/rasta/norba/4-GLI-SPAZI-SACRI/index.json/canvas/10
extended_mara_with_poi.14._Tempio_di_Giunone_Lucina,ext_mara.https://cosme.unicampania.it/rasta/norba/4-GLI-SPAZI-SACRI/index.json/canvas/11
extended_mara_with_poi.14._Tempio_di_Giunone_Lucina,ext_mara.https://cosme.unicampania.it/rasta/norba/4-GLI-SPAZI-SACRI/index.json/canvas/9
extended_mara_with_poi.16._Asse_stradale_principale_verso_l'Acropoli_Minore,ext_mara.https://cosme.unicampania.it/rasta/norba/1-EDIFICI-SACRI/index.json/canvas/20
extended_mara_with_poi.16._Asse_stradale_principale_verso_l'Acropoli_Minore,ext_mara.https://cosme.unicampania.it/rasta/norba/8-VIABILITA-Strade-antiche/index.json/canvas/1
extended_mara_with_poi.2._Porta_Maggiore_e_le_mura_di_Norba,ext_mara.https://cosme.unicampania.it/rasta/norba/5-NORBA-Centro-antico-e-storia/index.json/canvas/10
extended_mara_with_poi.2._Porta_Maggiore_e_le_mura_di_Norba,ext_mara.https://cosme.unicampania.it/rasta/norba/5-NORBA-Centro-antico-e-storia/index.json/canvas/2
extended_mara_with_poi.2._Porta_Maggiore_e_le_mura_di_Norba,ext_mara.https://cosme.unicampania.it/rasta/norba/5-NORBA-Centro-antico-e-storia/index.json/canvas/4
extended_mara_with_poi.2._Porta_Maggiore_e_le_mura_di_Norba,ext_mara.https://cosme.unicampania.it/rasta/norba/5-NORBA-Centro-antico-e-storia/index.json/canvas/7
extended_mara_with_poi.2._Porta_Maggiore_e_le_mura_di_Norba,ext_mara.https://cosme.unicampania.it/rasta/norba/5-NORBA-Centro-antico-e-storia/index.json/canvas/8
